Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1519	Invalid token '{' in a member declaration	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	192		
Error (active)	CS0825	The contextual keyword 'var' may only appear within a local variable declaration or in script code	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	195		
Error (active)	CS0825	The contextual keyword 'var' may only appear within a local variable declaration or in script code	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	196		
Error (active)	CS0825	The contextual keyword 'var' may only appear within a local variable declaration or in script code	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	197		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wSuper'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	198		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wEigen'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	198		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wSuper'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	199		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wEigen'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	199		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wSuper'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	200		
Error (active)	CS0236	A field initializer cannot reference the non-static field, method, or property 'FrameAndTaxonomyTests.wEigen'	ECL3Q.Tests	C:\Users\bauernfeindm\source\ECL3Q\ECL3Q.Tests\FrameAndTaxonomyTests.cs	200		
